"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"C1,C2,C3,C4,C5,C10","100n","","~","6","","",""
"C6,C7","10n","","~","2","","",""
"C8,C9","1u","","~","2","","",""
"C11,C13","100nF","","~","2","","",""
"C12,C14,C19,C22","10uF","","~","4","","",""
"C15","150uF","","~","1","","",""
"C16,C25","8pF","","~","2","","",""
"C17,C21,C23,L1","22uF","","~","4","","",""
"C18","30pF","","~","1","","",""
"C20","200nF","","~","1","","",""
"C24","4.7uF","","~","1","","",""
"D1","D_Schottky","","~","1","","",""
"FB1","FerriteBead","","~","1","","",""
"IC1","MAX1837EUT33+T","SOT95P280X145-6N","https://datasheets.maximintegrated.com/en/ds/MAX1836-MAX1837.pdf","1","","",""
"IC2","TS30011-M050QFNR","QFN50P300X300X100-17N-D","https://semtech.my.salesforce.com/sfc/p/#E0000000JelG/a/44000000MCHt/eMi5qBPcNWx2jvaXIhbkSJnPdLGooPnMiCA_.PbReH4","1","","",""
"IC3","TPS61291DRVR","SON65P200X200X80-7N","http://www.ti.com/lit/ds/symlink/tps61291.pdf","1","","",""
"J1","DE9_Pins","","~","1","","",""
"L2","4.7uH","","~","1","","",""
"L3","3.3uH","","~","1","","",""
"R1,R5","10K","","~","2","","",""
"R2,R3","10k","","~","2","","",""
"R4","60","","~","1","","",""
"SW1","SW_SPDT","","~","1","","",""
"U1","STM32F446RETx","Package_QFP:LQFP-64_10x10mm_P0.5mm","https://www.st.com/resource/en/datasheet/stm32f446re.pdf","1","","",""
"U2","MCP2551-I-P","Package_DIP:DIP-8_W7.62mm","http://ww1.microchip.com/downloads/en/devicedoc/21667d.pdf","1","","",""
"U3","ASM330LHHTR - IMU","LGA-14L_2P5X3X0P83_STM","https://www.st.com/resource/en/datasheet/asm330lhh.pdf","1","","",""
"Y1","CX2016SA16000D0GSSCC","","","1","","",""
